7794,22,2018-04-05,0,58,1,4,49962,107.0,3.35,3.05,2.38,0.13,31841.994,238,-1,-1,2081,-1,-1,-1,12.0
11087,8,2018-04-05,0,77,1,1,40939,98.0,2.68,2.76,3.57,0.08,291.742,231,613,8,1705,43,39,77,28.0
11181,8,2018-04-05,0,92,1,1,36955,93.0,2.46,3.3,2.29,0.1,4375.218,162,763,14,1539,53,22,54,-1.0
8007,12,2018-04-05,0,75,1,4,47459,97.0,3.43,2.78,2.39,0.12,18836.495,130,607,7,1977,44,23,87,4.0
9945,6,2018-04-05,0,167,1,1,28482,87.0,3.02,2.66,1.77,0.06,1584.892,160,874,11,821,61,17,79,14.0
98,23,2018-04-05,0,89,1,2,35597,102.0,3.06,3.28,3.18,0.13,478.629,199,835,17,1483,57,26,49,23.0
9155,23,2018-04-05,0,211,1,2,45330,104.0,2.88,2.72,2.93,0.15,12445.14,209,658,12,1888,46,30,55,45.0
9454,5,2018-04-05,0,69,1,2,54449,89.0,2.74,2.88,2.05,0.11,12331.05,226,-1,-1,2268,-1,-1,-1,45.0
11139,6,2018-04-06,0,76,1,1,39964,93.0,2.27,2.78,2.37,0.07,2089.2960000000003,174,748,11,1665,52,26,68,12.0
6256,5,2018-04-06,0,58,1,2,50290,91.0,2.75,3.26,1.7,0.06,726.1060000000001,184,-1,-1,2095,-1,-1,-1,34.0
8244,22,2018-04-06,0,213,1,3,35974,90.0,3.43,3.65,2.13,0.16,1156.112,122,664,10,1498,50,20,66,13.0
8479,12,2018-04-06,0,90,1,3,45813,94.0,3.74,3.0,2.91,0.12,3523.708,145,793,9,1908,55,21,88,2.0
3873,22,2018-04-06,0,69,1,3,50871,89.0,2.74,2.95,2.77,0.05,9638.294,115,-1,-1,2119,-1,-1,-1,-7.0
8111,22,2018-04-06,0,154,1,4,37168,83.0,3.84,3.81,2.63,0.16,343.55800000000005,125,-1,-1,1548,-1,-1,-1,15.0
9576,5,2018-04-06,0,69,1,2,36449,88.0,3.36,2.95,2.22,0.1,34673.681000000004,119,904,10,1518,54,16,90,-24.0
6268,5,2018-04-06,0,69,1,2,55183,120.0,2.22,3.13,2.98,0.16,4425.8820000000005,155,-1,-1,2299,-1,-1,-1,7.0
98,23,2018-04-06,0,90,1,2,34616,97.0,3.09,3.52,2.99,0.12,292.415,189,826,13,1442,58,23,64,10.0
9978,8,2018-04-06,0,95,1,1,45603,96.0,2.94,2.51,2.52,0.09,18365.38,147,544,8,1900,38,34,68,-8.0
4371,5,2018-04-06,0,62,1,2,34698,110.0,3.29,2.75,3.82,0.44,756.8330000000001,289,240,5,1445,18,113,48,24.0
11124,8,2018-04-06,0,78,1,1,28200,84.0,2.79,3.33,2.36,0.11,7998.34,208,568,225,1175,41,27,3,11.0
4000,22,2018-04-06,0,60,1,2,39389,96.0,2.75,3.18,2.96,0.09,9682.779,109,-1,-1,1641,-1,-1,-1,5.0
9083,23,2018-04-06,0,165,1,2,41630,93.0,3.71,3.01,2.79,0.12,5571.855,179,664,8,1734,46,28,83,4.0
8540,10,2018-04-06,0,162,1,3,34750,96.0,2.69,2.99,3.56,0.12,493.173,129,884,7,1447,61,15,126,-7.0
9970,8,2018-04-06,0,95,1,1,34865,106.0,3.04,3.83,3.08,0.13,259.41700000000003,168,652,12,1452,45,24,54,16.0
98,23,2018-04-07,0,91,1,2,39343,101.0,3.04,3.33,2.03,0.12,10162.485999999999,176,739,20,1639,51,27,37,1.0
9576,5,2018-04-07,0,70,1,2,38217,88.0,3.06,3.55,3.03,0.17,22438.81,115,697,9,1592,53,20,77,-24.0
9494,5,2018-04-07,0,64,1,2,50835,95.0,2.46,2.7,2.28,0.15,36.056999999999995,190,373,4,2118,26,58,93,11.0
