Animal_ID,Group_ID,Date,Dry_Days,Days_in_Milk,Is_Milked,Lactation_Num,Yield (gr),Conductivity,Fat (%),Protein (%),Lactose (%),Blood (%),SCC (*1000/ml),Activity (steps/hour),RestTime (minutes),RestBout (#),ProdRate (gr/hour),RestRatio (%),RestRestlessness,RestPerBout (minutes),ActivityDeviation (%)
9372,5,2018-04-03,0,63,1,2,50006,94.0,3.23,1.99,2.49,0.46,2870.781,149,-1,-1,2083,-1,-1,-1,5.0
8731,23,2018-04-03,0,185,1,2,44598,105.0,2.19,2.86,2.38,0.14,31768.73,144,709,10,1858,49,23,71,12.0
4000,22,2018-04-03,0,57,1,2,41811,93.0,3.06,2.62,1.88,0.06,5199.96,103,-1,-1,1742,-1,-1,-1,-4.0
9857,12,2018-04-03,0,151,1,1,36849,101.0,3.7,2.96,2.64,0.09,10715.198,207,694,10,1535,48,29,69,20.0
9487,5,2018-04-03,0,57,1,2,60102,96.0,1.27,3.03,2.14,0.1,1119.437,209,622,14,2504,43,38,44,28.0
11176,8,2018-04-03,0,119,1,1,32544,92.0,2.14,2.79,2.81,0.08,1468.925,242,715,12,1356,50,36,60,-12.0
11087,8,2018-04-03,0,75,1,1,41563,98.0,2.55,2.61,2.51,0.15,829.8510000000001,214,-1,-1,1731,-1,-1,-1,30.0
11124,8,2018-04-03,0,75,1,1,33353,82.0,2.58,3.32,3.2,0.57,1047.128,204,682,18,1389,47,31,38,-1.0
8628,23,2018-04-03,0,74,1,3,52165,95.0,2.92,3.4,2.63,0.16,5874.894,197,433,6,2173,30,50,72,22.0
4371,5,2018-04-03,0,59,1,2,39361,98.0,3.42,2.31,2.72,0.09,13335.214,245,435,5,1640,31,61,87,2.0
8796,23,2018-04-03,0,111,1,3,43704,93.0,2.64,2.08,4.05,0.07,1342.764,230,619,5,1821,43,36,124,30.0
7255,23,2018-04-03,0,117,1,5,63399,97.0,2.44,2.94,2.22,0.13,918.332,114,664,10,2641,46,20,66,8.0
